variant,dataset,stage,target,n,mae,rmse,r2,corr,bias,actual_mean,pred_mean
current_runtime_default,EXSCHOOL,cpi,actual_real_cpi,19,0.003872317153073823,0.006793575021744335,0.992185551185903,0.997803443861536,-0.0030770909320868315,0.07283157894736841,0.06975448801528158
current_runtime_default,EXSCHOOL,cpi_to_predicted_marketshare_unconstrained,marketshare_clean,341,0.0028516091529005114,0.008772634861020017,0.9627187906148084,0.9812202755290933,-0.00015913564674237263,0.02589728701292168,0.02573815136617931
current_runtime_default,EXSCHOOL,predicted_marketshare_unconstrained_to_final_share,actual_share_adjustment_from_unconstrained,341,0.003094945391727379,0.009393847964290382,-0.14701706639548595,0.11523477490192384,-0.0015672170786403766,0.00015913564674237263,-0.0014080814318980037
current_runtime_default,EXSCHOOL,end_to_end_final_share,marketshare_clean,341,0.003094945391727379,0.009393847964290382,0.9572518878951999,0.979030954321491,-0.0015672170786403766,0.02589728701292168,0.024330069934281297
current_runtime_default,OBOS,cpi,actual_real_cpi,12,0.046675148103699604,0.05992716208348854,0.5780521602419837,0.8790720915249827,-0.031202098862972306,0.10241666666666667,0.07121456780369437
current_runtime_default,OBOS,cpi_to_predicted_marketshare_unconstrained,marketshare_clean,107,0.027679845265593937,0.05460821230973686,0.3814218943943424,0.6447558567280423,-0.004217386182000473,0.04755732968528453,0.04333994350328406
current_runtime_default,OBOS,predicted_marketshare_unconstrained_to_final_share,actual_share_adjustment_from_unconstrained,107,0.02273814550830475,0.05122609667450046,0.11475252488788601,0.3947074768691795,-0.010646624966069959,0.004217386182000473,-0.006429238784069484
current_runtime_default,OBOS,end_to_end_final_share,marketshare_clean,107,0.022738145508304743,0.051226096674500454,0.4556713982599977,0.693387360350649,-0.010646624966069959,0.04755732968528453,0.03691070471921458
legacy_pre_stage1_residual_calibrator,EXSCHOOL,cpi,actual_real_cpi,19,0.003872317153073824,0.006793575021744339,0.9921855511859029,0.997803443861536,-0.003077090932086833,0.07283157894736841,0.06975448801528158
legacy_pre_stage1_residual_calibrator,EXSCHOOL,cpi_to_predicted_marketshare_unconstrained,marketshare_clean,341,0.0028516091529005114,0.008772634861020017,0.9627187906148084,0.9812202755290933,-0.00015913564674237255,0.02589728701292168,0.02573815136617931
legacy_pre_stage1_residual_calibrator,EXSCHOOL,predicted_marketshare_unconstrained_to_final_share,actual_share_adjustment_from_unconstrained,341,0.003094945391727379,0.009393847964290382,-0.14701706639548595,0.11523477490192391,-0.0015672170786403766,0.00015913564674237255,-0.001408081431898004
legacy_pre_stage1_residual_calibrator,EXSCHOOL,end_to_end_final_share,marketshare_clean,341,0.003094945391727379,0.009393847964290382,0.9572518878951999,0.979030954321491,-0.0015672170786403766,0.02589728701292168,0.024330069934281297
legacy_pre_stage1_residual_calibrator,OBOS,cpi,actual_real_cpi,12,0.061817349241505115,0.08104704535221617,0.2282338645988845,0.8166171405338868,-0.04634430000077782,0.10241666666666667,0.05607236666588885
legacy_pre_stage1_residual_calibrator,OBOS,cpi_to_predicted_marketshare_unconstrained,marketshare_clean,107,0.028337514362574763,0.05481824633311516,0.37665439527470235,0.6345354809784384,-0.005689867855378303,0.04755732968528453,0.04186746182990623
legacy_pre_stage1_residual_calibrator,OBOS,predicted_marketshare_unconstrained_to_final_share,actual_share_adjustment_from_unconstrained,107,0.02631964304223198,0.054705637095349195,-0.006741826467467016,0.2230611511847822,-0.012316673606521701,0.005689867855378303,-0.006626805751143398
legacy_pre_stage1_residual_calibrator,OBOS,end_to_end_final_share,marketshare_clean,107,0.02631964304223198,0.054705637095349195,0.37921275422771195,0.6416422049478154,-0.012316673606521701,0.04755732968528453,0.035240656078762825
